account_id,customer_id,branch_id,account_type,balance
1,305,12,Loan,3974141.72
2,216,5,Current,1157188.35
3,137,13,Loan,4042871.24
4,400,2,Loan,1635291.61
5,286,14,Savings,1631242.05
6,196,9,Loan,2124677.98
7,480,7,Savings,197482.8
8,56,10,Current,4224130.77
9,84,14,Savings,4207344.91
10,213,4,Loan,4032316.91
11,486,6,Loan,4774835.63
12,122,2,Savings,4094570.26
13,201,3,Savings,3984551.67
14,237,1,Savings,1162883.56
15,168,3,Current,2765883.81
16,296,4,Savings,3138382.62
17,251,1,Current,3499961.23
18,239,8,Loan,1494956.9
19,475,13,Savings,2178357.05
20,492,14,Current,1326820.31
21,282,15,Loan,2971885.46
22,138,3,Current,2437482.18
23,49,5,Savings,2309599.38
24,259,15,Savings,1951636.41
25,226,4,Loan,2235784.85
26,48,5,Loan,1146969.61
27,98,14,Loan,1744583.57
28,251,9,Loan,4089838.17
29,106,2,Current,4634744.38
30,421,7,Loan,3566745.07
31,481,15,Current,2240559.51
32,489,14,Savings,3662486.27
33,315,1,Current,4714643.97
34,156,3,Savings,1416484.29
35,253,12,Loan,4207607.63
36,32,3,Savings,186262.94
37,184,15,Current,1925128.76
38,29,13,Savings,4501713.62
39,83,7,Current,273085.66
40,20,10,Savings,4101094.55
41,39,11,Savings,3703927.34
42,447,2,Current,1197681.34
43,38,10,Current,2573778.78
44,259,15,Loan,1344737.1
45,118,4,Savings,236019.16
46,14,12,Savings,32207.33
47,324,11,Current,533028.09
48,97,13,Loan,4096387.53
49,343,10,Loan,2831077.9
50,270,15,Loan,359787.75
51,429,10,Loan,145019.69
52,397,6,Loan,957165.01
53,79,13,Loan,3844372.51
54,433,15,Savings,3871368.64
55,242,3,Savings,3470517.4
56,62,3,Savings,4879877.71
57,241,13,Savings,1568329.43
58,41,5,Current,4909200.52
59,451,5,Savings,3883201.07
60,346,6,Loan,3227915.64
61,341,1,Loan,4238117.3
62,393,7,Loan,4614477.36
63,26,5,Loan,871250.28
64,98,15,Current,1027913.33
65,55,2,Current,4238784.91
66,59,9,Loan,3206012.38
67,26,11,Loan,2568485.36
68,189,6,Savings,4590987.0
69,114,14,Loan,4590618.55
70,151,7,Loan,147467.61
71,115,6,Current,3505904.87
72,256,14,Loan,2845938.71
73,321,2,Loan,2499977.15
74,74,11,Savings,3329242.86
75,265,8,Savings,4732394.43
76,371,3,Savings,1139443.28
77,355,7,Current,1334660.77
78,404,9,Current,2393282.04
79,259,2,Loan,356185.82
80,226,9,Loan,4818234.1
81,192,15,Loan,2778146.22
82,331,1,Loan,4604076.43
83,175,11,Current,456456.69
84,380,2,Current,4020196.14
85,303,7,Savings,3745091.87
86,108,11,Savings,3490620.48
87,315,6,Savings,882801.42
88,380,4,Loan,3652875.52
89,241,13,Loan,527947.44
90,178,12,Loan,931911.12
91,168,13,Savings,4512038.83
92,418,3,Savings,2453652.12
93,387,4,Savings,2967975.78
94,89,5,Savings,2817804.51
95,127,10,Loan,343291.98
96,119,7,Current,1211652.41
97,119,7,Loan,2319563.64
98,156,12,Savings,2579123.41
99,44,8,Loan,4219611.46
100,218,13,Savings,2184244.58
101,59,2,Savings,3906825.22
102,115,11,Current,2565652.64
103,481,1,Savings,797049.07
104,247,3,Savings,473338.07
105,249,7,Loan,3897447.01
106,73,8,Current,1554636.2
107,196,4,Savings,2265743.79
108,58,5,Loan,1361660.76
109,470,4,Savings,3398199.64
110,393,10,Savings,4926943.89
111,267,5,Current,805627.98
112,374,7,Savings,4150210.86
113,177,2,Loan,4396707.11
114,400,1,Current,3944511.95
115,405,14,Current,4230127.59
116,162,10,Savings,4510743.31
117,297,12,Loan,3915747.52
118,247,1,Current,1888163.18
119,482,7,Loan,1489994.32
120,446,6,Current,2486999.03
121,71,15,Current,4343456.45
122,199,3,Current,4166748.08
123,228,14,Loan,3526965.65
124,181,3,Current,-716.13
125,8,2,Loan,2802863.68
126,42,8,Savings,1078618.0
127,295,12,Loan,4080469.38
128,206,11,Loan,2043407.83
129,362,3,Loan,4945847.88
130,390,9,Current,4067060.97
131,199,13,Loan,1876598.89
132,153,3,Savings,1724691.61
133,397,14,Loan,1316371.96
134,243,8,Savings,1750813.08
135,274,13,Current,-125952.03
136,358,4,Current,2276306.83
137,223,5,Loan,2878385.72
138,172,7,Loan,2754023.35
139,424,12,Loan,527454.76
140,440,9,Current,3569906.59
141,299,8,Savings,3203224.82
142,355,15,Loan,4722514.02
143,270,15,Current,380266.44
144,153,11,Current,4385993.73
145,372,5,Savings,2367364.49
146,200,4,Savings,2681638.67
147,189,6,Savings,2743843.7
148,425,7,Current,4655484.73
149,36,3,Loan,2080250.46
150,239,4,Savings,2519818.94
151,474,6,Current,1953839.17
152,430,15,Current,138194.52
153,266,3,Loan,4641067.36
154,378,15,Loan,4156441.11
155,174,10,Savings,4727936.76
156,305,15,Loan,335181.24
157,491,12,Loan,1323270.14
158,284,7,Savings,539340.76
159,483,7,Savings,2269504.88
160,92,9,Savings,2235199.1
161,103,5,Loan,2731295.39
162,131,10,Savings,1342741.99
163,100,7,Current,2410736.52
164,476,9,Loan,-167141.51
165,289,11,Current,4820757.14
166,261,12,Loan,1477283.28
167,199,12,Current,717663.11
168,153,13,Savings,371524.17
169,296,14,Loan,4266005.91
170,497,8,Savings,2990488.79
171,496,13,Loan,2926086.84
172,344,4,Current,616013.21
173,119,14,Loan,1992096.29
174,388,12,Savings,4185751.48
175,166,14,Loan,3415681.08
176,22,11,Savings,-184583.58
177,465,15,Loan,4966823.41
178,259,1,Current,2670786.18
179,82,15,Current,3213378.53
180,385,3,Current,4613606.47
181,416,9,Loan,2045989.24
182,29,5,Loan,2484950.39
183,332,13,Current,2685886.72
184,474,12,Current,2205881.29
185,387,5,Savings,4959142.65
186,216,7,Savings,1724054.48
187,63,6,Loan,4131630.48
188,240,3,Current,2011274.77
189,16,8,Current,3745951.83
190,490,15,Savings,4700619.49
191,263,7,Loan,2483744.27
192,35,7,Loan,1529442.91
193,24,10,Loan,1237761.11
194,19,9,Savings,1553393.12
195,367,13,Savings,3459098.62
196,405,8,Loan,4175027.53
197,379,8,Loan,3320149.98
198,220,5,Loan,42227.08
199,93,7,Loan,2943470.86
200,342,9,Savings,1792589.58
201,70,2,Loan,4049482.15
202,98,1,Savings,1111941.44
203,142,4,Current,4245980.6
204,394,8,Current,2147420.75
205,462,1,Current,4259398.67
206,86,5,Savings,2471945.54
207,92,11,Savings,2361328.67
208,132,12,Savings,3267570.3
209,280,11,Loan,1383042.51
210,276,11,Loan,3447835.34
