loan_id,customer_id,branch_id,loan_amount,interest_rate,loan_status
1,470,6,4396118.29,8.25,Defaulted
2,102,4,2415767.34,12.07,Defaulted
3,427,1,4354425.34,7.75,Defaulted
4,76,7,3363861.81,14.27,Pending
5,162,13,4588783.99,14.82,Defaulted
6,334,4,1590740.5,11.36,Approved
7,364,10,2438471.28,13.56,Approved
8,283,1,650732.65,12.55,Approved
9,99,3,3949421.11,6.42,Defaulted
10,275,3,2610741.45,14.74,Approved
11,299,6,4732965.11,10.05,Defaulted
12,62,12,2768649.58,7.41,Defaulted
13,372,4,1485436.67,8.86,Approved
14,151,14,4899739.18,12.92,Approved
15,399,10,967873.98,8.64,Pending
16,359,3,4107899.69,8.08,Pending
17,414,10,1727001.25,6.85,Approved
18,296,1,812415.22,11.65,Approved
19,6,5,2570197.39,9.05,Defaulted
20,446,11,4758562.03,6.96,Pending
21,352,1,2094552.45,8.96,Defaulted
22,143,7,4733885.53,7.62,Approved
23,225,2,1757400.56,5.04,Approved
24,37,11,3241641.98,7,Defaulted
25,198,8,688794.01,11.39,Pending
26,73,12,4439683.48,7.58,Pending
27,359,6,1703523.05,9.42,Approved
28,102,3,1139301,6.35,Pending
29,322,9,3485722.55,6.96,Defaulted
30,191,8,3478969.45,13.98,Defaulted
31,25,13,1218144.89,11.02,Approved
32,117,4,3289441.16,8.41,Approved
33,234,13,492053.33,6.53,Approved
34,166,2,1504008.58,13.32,Approved
35,209,7,4501436.54,9.52,Defaulted
36,23,7,1548027.14,13.6,Pending
37,333,10,2347079.96,6.62,Pending
38,200,5,4638036.74,10.02,Approved
39,274,4,1427598.74,8.25,Pending
40,208,8,347510.05,13.52,Pending
41,467,15,1265932.35,9.47,Defaulted
42,334,6,98225.44,5.94,Pending
43,355,13,4024810.64,5.14,Defaulted
44,297,12,53701.58,11.13,Approved
45,177,5,458346.76,8.18,Pending
46,120,11,3237841.03,13.84,Approved
47,453,11,2995960.33,8.78,Pending
48,476,9,4697925.95,14.41,Defaulted
49,340,12,2336729.65,5.46,Defaulted
