transaction_id,customer_id,account_id,transaction_type,amount,transaction_date,status
T00001,156,655,Deposit,50509.01,2025-06-24,Pending
T00002,429,251,Withdrawal,698550.1,2023-03-26,Completed
T00003,202,693,Deposit,1181189.78,2022-11-12,Completed
T00004,481,31,Deposit,437666.63,2023-12-06,Failed
T00005,294,617,Deposit,1122709.5,2023-10-20,Failed
T00006,224,666,Bill Payment,22122.02,2023-09-16,Failed
T00007,3,285,Deposit,1517735.33,2023-05-09,Completed
T00008,117,433,Transfer,833975.09,2023-03-13,Completed
T00009,288,345,Deposit,185945.31,2025-08-21,Completed
T00010,185,368,Transfer,1811376.23,2025-01-29,Completed
T00011,82,471,Deposit,1946244.97,2023-02-17,Pending
T00012,192,81,Transfer,2488299.29,2025-04-09,Failed
T00013,440,371,Withdrawal,3523154.61,2024-07-21,Completed
T00014,498,678,Withdrawal,3865568.64,2022-11-23,Completed
T00015,124,239,Deposit,760562.39,2022-11-20,Pending
T00016,358,651,Transfer,488380.96,2023-02-27,Pending
T00017,35,215,Transfer,2105610.03,2023-09-09,Failed
T00018,38,664,Deposit,1218457.45,2023-10-01,Completed
T00019,198,547,Withdrawal,817849.07,2024-11-28,Pending
T00020,361,277,Withdrawal,3423386.64,2025-04-27,Completed
T00021,123,235,Deposit,1610189.08,2022-11-15,Pending
T00022,479,275,Deposit,422360.2,2025-02-22,Failed
T00023,223,323,Withdrawal,3277537.89,2023-08-09,Pending
T00024,67,659,Bill Payment,14372.87,2025-07-10,Completed
T00025,327,253,Transfer,2241167.93,2025-09-28,Pending
T00026,59,598,Bill Payment,36263.44,2025-01-28,Completed
T00027,422,522,Bill Payment,9181.85,2024-07-17,Completed
T00028,177,113,Withdrawal,3137602.76,2023-09-12,Failed
T00029,117,433,Deposit,769842.24,2024-09-01,Failed
T00030,431,480,Transfer,2913249.59,2025-04-07,Completed
T00031,433,697,Deposit,1363579.88,2023-12-11,Failed
T00032,344,274,Transfer,335100.74,2022-10-15,Pending
T00033,131,162,Bill Payment,424.21,2023-06-10,Failed
T00034,112,270,Withdrawal,2538900.69,2025-09-23,Completed
T00035,174,641,Transfer,2525087.21,2024-07-22,Failed
T00036,204,624,Withdrawal,765043.5,2024-03-16,Completed
T00037,73,553,Deposit,1198089.7,2023-12-10,Pending
T00038,492,20,Deposit,1858232.68,2023-06-03,Pending
T00039,470,246,Deposit,482122.75,2023-09-04,Failed
T00040,192,81,Deposit,1463949.24,2024-03-10,Completed
T00041,312,546,Withdrawal,642828.93,2023-03-12,Pending
T00042,88,563,Withdrawal,1326018.09,2023-02-26,Failed
T00043,254,434,Withdrawal,4644638.55,2024-05-17,Failed
T00044,86,206,Transfer,1197277.4,2023-03-04,Failed
T00045,224,666,Transfer,1314581.2,2024-04-14,Failed
T00046,437,463,Deposit,496187.27,2024-03-22,Completed
T00047,17,347,Deposit,1176823.28,2025-04-29,Completed
T00048,386,603,Withdrawal,36947,2023-11-19,Failed
T00049,234,647,Deposit,458269.1,2022-12-11,Completed
T00050,3,339,Deposit,1028555.16,2024-09-17,Pending
T00051,119,686,Bill Payment,21502.26,2025-01-15,Completed
T00052,454,585,Bill Payment,24375.42,2023-04-16,Pending
T00053,401,417,Withdrawal,472534.66,2024-05-15,Failed
T00054,60,442,Transfer,1271024.08,2023-02-04,Pending
T00055,62,56,Deposit,121695.04,2025-02-08,Failed
T00056,28,348,Deposit,497688.34,2024-01-03,Completed
T00057,434,550,Bill Payment,14104.21,2025-06-07,Completed
T00058,499,286,Bill Payment,25055.66,2025-05-22,Completed
T00059,135,454,Deposit,101651.36,2024-04-18,Failed
T00060,296,16,Deposit,1852770.78,2025-03-19,Completed
T00061,496,171,Bill Payment,48615.55,2023-07-30,Completed
T00062,29,411,Deposit,329691.92,2025-10-03,Completed
T00063,157,400,Transfer,2779590.96,2023-01-21,Pending
T00064,217,293,Bill Payment,69689.49,2022-12-15,Failed
T00065,325,570,Bill Payment,15564.2,2025-07-28,Pending
T00066,259,223,Deposit,1158570.99,2023-09-24,Failed
T00067,26,63,Transfer,171967.24,2023-12-28,Failed
T00068,90,489,Withdrawal,285341.02,2023-02-05,Failed
T00069,175,83,Withdrawal,343538.14,2023-10-01,Completed
T00070,497,692,Withdrawal,2019473.98,2023-03-10,Failed
T00071,327,253,Deposit,1238953.33,2024-05-17,Pending
T00072,62,674,Transfer,2804151.42,2023-12-10,Completed
T00073,119,686,Transfer,716438.51,2024-09-08,Pending
T00074,274,135,Transfer,1371945.11,2025-06-18,Completed
T00075,213,10,Bill Payment,62153.81,2024-04-23,Failed
T00076,481,103,Deposit,1075499.99,2023-06-14,Failed
T00077,270,272,Withdrawal,4666363.63,2024-05-02,Completed
T00078,429,251,Transfer,855319.68,2024-04-08,Pending
T00079,414,557,Transfer,1835227.46,2023-08-26,Failed
T00080,56,542,Deposit,1335892.48,2025-08-11,Failed
T00081,261,307,Deposit,1877890.54,2023-11-23,Completed
T00082,104,271,Deposit,1779480.56,2025-09-29,Failed
T00083,214,567,Withdrawal,1362468.71,2025-08-31,Failed
T00084,184,216,Transfer,611190.14,2025-07-07,Failed
T00085,104,271,Bill Payment,25187.01,2023-01-23,Completed
T00086,127,95,Bill Payment,82951.87,2025-05-08,Completed
T00087,400,4,Transfer,2313472.11,2025-06-17,Failed
T00088,75,269,Withdrawal,3706413.31,2023-06-27,Failed
T00089,357,438,Deposit,224191.82,2025-01-11,Failed
T00090,266,153,Deposit,1669272.74,2023-10-20,Failed
T00091,43,566,Withdrawal,2149503.78,2023-06-15,Completed
T00092,157,316,Transfer,2696994.98,2024-09-22,Completed
T00093,47,367,Withdrawal,3410651.37,2024-05-16,Failed
T00094,73,106,Transfer,2340458.67,2023-11-28,Pending
T00095,462,636,Withdrawal,4628893.35,2025-06-25,Completed
T00096,199,167,Withdrawal,4407199.61,2025-09-08,Completed
T00097,474,184,Transfer,2347268.3,2025-02-16,Pending
T00098,119,686,Withdrawal,1334761.74,2023-09-11,Failed
T00099,267,111,Bill Payment,87229.46,2025-09-02,Pending
T00100,133,228,Withdrawal,4083116.44,2024-02-20,Pending
T00101,162,359,Transfer,2461698.87,2022-12-30,Completed
T00102,68,229,Deposit,1320236.35,2023-09-25,Pending
T00103,364,337,Transfer,2593126.65,2022-11-23,Pending
T00104,466,360,Bill Payment,67983.86,2024-02-07,Failed
T00105,132,340,Deposit,231125.83,2024-06-19,Pending
T00106,332,183,Transfer,115252.46,2023-11-24,Failed
T00107,339,445,Transfer,2185770.91,2023-01-15,Pending
T00108,198,447,Deposit,770698.27,2023-08-28,Failed
T00109,367,195,Transfer,133637.41,2025-03-04,Pending
T00110,216,2,Withdrawal,1821743.14,2024-02-05,Completed
T00111,150,681,Transfer,1869654.65,2023-08-31,Failed
T00112,206,128,Transfer,1521613.95,2025-07-19,Failed
T00113,256,419,Transfer,1207499.96,2024-11-18,Pending
T00114,351,568,Withdrawal,960008.62,2024-06-10,Failed
T00115,41,389,Withdrawal,3077959.06,2025-06-29,Pending
T00116,72,416,Deposit,608097.96,2024-09-16,Completed
T00117,419,441,Transfer,1395232.08,2023-05-14,Pending
T00118,497,692,Withdrawal,2556358.81,2023-11-20,Failed
T00119,388,174,Deposit,567930.92,2023-05-09,Failed
T00120,194,649,Transfer,280614.91,2023-10-23,Completed
T00121,227,689,Transfer,674309.68,2025-02-23,Completed
T00122,474,151,Deposit,92904.33,2025-01-19,Pending
T00123,29,626,Deposit,911104.63,2023-11-17,Failed
T00124,437,590,Withdrawal,3592011.23,2025-03-31,Pending
T00125,45,507,Bill Payment,24474.05,2024-07-31,Failed
T00126,196,6,Deposit,1556951.6,2025-03-29,Completed
T00127,416,181,Bill Payment,5116.82,2024-06-16,Completed
T00128,8,125,Bill Payment,13420.58,2024-04-19,Pending
T00129,441,684,Transfer,2850143.81,2023-09-10,Pending
T00130,214,628,Bill Payment,83073.86,2023-05-07,Failed
T00131,181,457,Withdrawal,3718533.56,2024-12-04,Pending
T00132,494,461,Transfer,2255454.47,2024-11-09,Failed
T00133,313,284,Bill Payment,62712.17,2023-02-23,Pending
T00134,243,451,Deposit,1427232.95,2022-12-17,Completed
T00135,318,279,Transfer,959468.85,2023-03-24,Failed
T00136,175,83,Withdrawal,755002.46,2023-05-30,Pending
T00137,491,157,Withdrawal,322080.02,2025-06-05,Pending
T00138,3,339,Bill Payment,41635.85,2023-06-10,Completed
T00139,440,431,Bill Payment,90493.36,2025-08-27,Failed
T00140,282,21,Bill Payment,47750.28,2024-07-21,Pending
T00141,416,306,Bill Payment,85359.45,2025-04-18,Pending
T00142,192,552,Withdrawal,2441659.16,2023-01-11,Pending
T00143,198,447,Bill Payment,2999.58,2024-05-24,Pending
T00144,72,685,Bill Payment,72445.72,2024-05-19,Pending
T00145,199,131,Deposit,1813904.26,2025-04-17,Failed
T00146,454,578,Deposit,168352.95,2024-10-01,Pending
T00147,424,139,Bill Payment,18254.73,2025-01-03,Pending
T00148,41,389,Transfer,635375.02,2023-10-30,Pending
T00149,135,346,Bill Payment,27897.84,2025-02-10,Pending
T00150,336,259,Deposit,940878.52,2022-10-22,Failed
T00151,73,553,Deposit,1999815.7,2025-08-26,Pending
T00152,414,230,Deposit,1562575.48,2023-03-31,Failed
T00153,447,42,Deposit,1899248.66,2025-08-29,Completed
T00154,282,21,Withdrawal,1193486.16,2025-01-16,Pending
T00155,119,686,Deposit,1128157.18,2023-11-23,Completed
T00156,62,477,Transfer,2300810.85,2025-06-26,Completed
T00157,166,621,Deposit,1555694.88,2024-03-16,Completed
T00158,234,319,Deposit,1157580.12,2023-03-27,Pending
T00159,437,590,Bill Payment,39725.78,2024-01-03,Failed
T00160,394,204,Deposit,1184399.67,2024-08-10,Failed
T00161,459,249,Deposit,1394537.41,2023-06-07,Pending
T00162,170,615,Deposit,1592556.32,2024-09-08,Failed
T00163,38,43,Transfer,1598469.36,2022-10-10,Failed
T00164,388,380,Deposit,1012168.6,2023-11-18,Pending
T00165,201,13,Bill Payment,82250.86,2024-11-20,Completed
T00166,199,444,Transfer,1906937.53,2023-07-09,Pending
T00167,491,157,Bill Payment,17696.08,2024-12-01,Failed
T00168,132,667,Transfer,1847929.11,2023-03-19,Failed
T00169,51,496,Bill Payment,43613.89,2025-06-02,Failed
T00170,305,607,Transfer,967252.6,2024-01-11,Completed
T00171,241,89,Transfer,2644952.74,2025-06-23,Completed
T00172,434,476,Bill Payment,33706.02,2024-12-01,Pending
T00173,164,333,Withdrawal,2438262.11,2025-05-08,Pending
T00174,173,265,Transfer,839335.63,2023-08-09,Failed
T00175,473,283,Deposit,1033496.19,2023-05-30,Completed
T00176,380,88,Withdrawal,3600653.25,2024-05-07,Pending
T00177,280,569,Withdrawal,3453356.09,2023-06-12,Failed
T00178,143,503,Bill Payment,79313.99,2025-01-19,Completed
T00179,216,302,Withdrawal,2022601.24,2025-01-05,Completed
T00180,183,314,Transfer,1420044.84,2022-10-05,Failed
T00181,467,353,Bill Payment,99663.48,2025-04-22,Failed
T00182,3,339,Transfer,2108713.4,2024-02-20,Pending
T00183,183,314,Transfer,691998.85,2024-11-02,Failed
T00184,220,198,Transfer,359104.45,2022-11-04,Failed
T00185,490,190,Withdrawal,1082706.81,2023-03-27,Pending
T00186,313,284,Transfer,2941541.64,2024-04-20,Completed
T00187,47,304,Withdrawal,1805044.46,2024-01-25,Pending
T00188,168,15,Withdrawal,1372282.32,2023-10-11,Completed
T00189,214,567,Transfer,2092403.47,2023-01-02,Completed
T00190,123,654,Bill Payment,10348.51,2023-10-14,Completed
T00191,477,588,Transfer,1408456.14,2025-03-04,Pending
T00192,340,349,Withdrawal,4827522.72,2023-02-04,Pending
T00193,297,490,Deposit,1644320.23,2023-02-15,Pending
T00194,267,504,Deposit,1154253.8,2024-10-28,Failed
T00195,242,55,Withdrawal,746838.72,2023-01-20,Failed
T00196,115,312,Deposit,1987839.29,2025-01-09,Completed
T00197,128,572,Bill Payment,60671.13,2023-04-18,Failed
T00198,240,232,Bill Payment,45106.4,2023-04-22,Pending
T00199,477,305,Bill Payment,30607.49,2025-07-25,Failed
T00200,393,62,Deposit,1895206.61,2024-10-12,Completed
T00201,174,641,Withdrawal,1323965.98,2025-02-05,Completed
T00202,103,161,Withdrawal,869893.93,2023-06-18,Completed
T00203,103,161,Deposit,817330.89,2023-11-20,Failed
T00204,301,609,Bill Payment,29196.8,2025-01-01,Completed
T00205,184,296,Transfer,2109111.18,2025-05-04,Pending
T00206,321,73,Withdrawal,4619631.31,2024-07-23,Failed
T00207,286,604,Withdrawal,2126269.69,2023-08-30,Failed
T00208,481,231,Withdrawal,4542148.81,2025-01-19,Completed
T00209,74,74,Deposit,332262.62,2025-09-10,Pending
T00210,7,610,Transfer,1317740.77,2023-08-13,Pending
T00211,115,312,Bill Payment,94273.36,2024-02-01,Failed
T00212,73,553,Bill Payment,43832.11,2024-06-15,Failed
T00213,39,41,Bill Payment,73479.94,2025-08-13,Failed
T00214,54,257,Deposit,183108.11,2025-07-10,Failed
T00215,437,590,Deposit,1999145.05,2024-05-07,Failed
T00216,426,276,Deposit,1526336.45,2024-08-15,Completed
T00217,57,482,Bill Payment,91615.67,2024-12-17,Completed
T00218,59,600,Bill Payment,63514.99,2024-09-05,Pending
T00219,89,94,Bill Payment,34861.31,2023-04-10,Pending
T00220,322,329,Deposit,1715537.32,2023-10-25,Pending
T00221,71,422,Bill Payment,28892.96,2023-09-19,Pending
T00222,261,564,Deposit,909924.4,2023-01-12,Pending
T00223,336,259,Transfer,348206.84,2024-03-13,Pending
T00224,398,527,Deposit,1315491.94,2022-11-06,Failed
T00225,285,474,Bill Payment,5514.99,2025-04-05,Failed
T00226,440,371,Bill Payment,62578.33,2025-02-11,Completed
T00227,280,209,Transfer,1647884.31,2023-09-27,Pending
T00228,193,449,Bill Payment,12230.47,2025-04-06,Failed
T00229,204,624,Withdrawal,3549204.34,2023-09-12,Pending
T00230,69,565,Deposit,1104726.69,2022-10-16,Completed
T00231,481,231,Deposit,923165.06,2023-01-23,Completed
T00232,38,664,Withdrawal,2492379.15,2025-06-11,Failed
T00233,233,299,Transfer,1246763.28,2023-01-04,Pending
T00234,310,484,Withdrawal,2284475.58,2023-09-25,Completed
T00235,259,393,Withdrawal,4609418.88,2023-01-17,Failed
T00236,440,140,Deposit,552856.68,2022-11-22,Pending
T00237,340,349,Transfer,2461738.14,2024-03-01,Pending
T00238,416,306,Bill Payment,86539.53,2023-01-23,Pending
T00239,192,552,Bill Payment,34577.88,2024-12-11,Failed
T00240,414,557,Bill Payment,45588.93,2023-10-09,Pending
T00241,19,194,Withdrawal,2859416.41,2023-12-11,Completed
T00242,299,421,Deposit,636693.57,2025-08-09,Pending
T00243,188,391,Bill Payment,98842.56,2024-10-28,Failed
T00244,305,156,Bill Payment,96485.96,2023-09-02,Completed
T00245,318,515,Transfer,2609166.09,2025-01-19,Pending
T00246,481,103,Bill Payment,1633.23,2023-04-28,Completed
T00247,45,420,Withdrawal,375066.41,2025-03-10,Pending
T00248,17,347,Bill Payment,65018.68,2025-03-18,Pending
T00249,22,691,Bill Payment,95418.55,2024-10-08,Failed
T00250,425,500,Deposit,1235110.19,2023-10-17,Completed
T00251,234,647,Transfer,2992279.06,2024-10-08,Failed
T00252,387,93,Bill Payment,97835.94,2024-06-28,Failed
T00253,481,103,Bill Payment,16719.84,2023-07-27,Pending
T00254,421,30,Deposit,649087.15,2023-02-28,Completed
T00255,132,301,Transfer,1124835.85,2023-03-04,Completed
T00256,429,251,Bill Payment,56636.21,2025-07-24,Completed
T00257,166,175,Withdrawal,395762.78,2024-08-04,Pending
T00258,245,635,Withdrawal,2488838.59,2024-04-07,Failed
T00259,189,147,Withdrawal,2306288.42,2024-07-24,Pending
T00260,82,471,Transfer,2000688.73,2024-07-04,Pending
T00261,379,295,Withdrawal,370235.64,2024-09-29,Pending
T00262,273,602,Transfer,1916996.64,2022-12-28,Pending
T00263,54,257,Bill Payment,84545.86,2025-08-16,Completed
T00264,102,394,Bill Payment,10754.66,2025-07-16,Pending
T00265,328,586,Transfer,1724648.38,2025-07-04,Failed
T00266,427,303,Deposit,1955900,2023-03-06,Failed
T00267,10,406,Transfer,24789.85,2023-01-07,Failed
T00268,429,51,Bill Payment,83300.61,2024-06-21,Pending
T00269,320,236,Transfer,657404.11,2024-03-15,Completed
T00270,462,636,Transfer,2033454.49,2023-03-23,Failed
T00271,196,676,Withdrawal,3141612.27,2023-10-26,Failed
T00272,74,662,Deposit,618211.3,2023-07-29,Pending
T00273,253,35,Transfer,2197213.12,2023-07-27,Completed
T00274,427,303,Transfer,2242568.85,2025-01-15,Completed
T00275,86,206,Withdrawal,3932777.54,2024-08-31,Pending
T00276,433,544,Transfer,2491502.62,2023-05-10,Pending
T00277,37,494,Transfer,2239804.77,2024-07-21,Pending
T00278,247,118,Bill Payment,96293.04,2023-07-17,Completed
T00279,240,232,Bill Payment,96730.25,2023-12-11,Failed
T00280,173,375,Deposit,1581468.6,2024-09-22,Completed
T00281,104,271,Deposit,909844.66,2023-10-28,Failed
T00282,227,689,Transfer,1753887.99,2023-01-30,Failed
T00283,196,381,Deposit,1349835.69,2024-08-23,Pending
T00284,48,26,Transfer,2745810.1,2025-02-05,Completed
T00285,38,664,Deposit,1270990.14,2023-03-06,Pending
T00286,262,310,Bill Payment,11755.93,2022-12-22,Completed
T00287,83,39,Transfer,2987784.16,2025-07-14,Completed
T00288,218,100,Withdrawal,4436409.28,2025-01-21,Completed
T00289,190,398,Bill Payment,37164.05,2022-10-27,Failed
T00290,498,554,Bill Payment,58775.3,2023-02-26,Failed
T00291,483,159,Bill Payment,65526.7,2023-10-07,Pending
T00292,261,631,Bill Payment,93911.4,2023-06-20,Pending
T00293,156,34,Transfer,652200.42,2024-06-27,Pending
T00294,219,242,Transfer,298514.2,2024-10-28,Failed
T00295,217,377,Transfer,182119.99,2024-10-21,Pending
T00296,367,195,Deposit,1898047.07,2023-09-02,Pending
T00297,89,94,Withdrawal,3208880.63,2024-06-18,Failed
T00298,138,22,Deposit,1573695.78,2023-01-04,Completed
T00299,362,129,Withdrawal,343982.15,2023-06-17,Failed
T00300,1,213,Withdrawal,4065451.85,2024-05-15,Completed
T00301,364,337,Withdrawal,3943430.13,2022-10-08,Failed
T00302,137,3,Transfer,2575289.18,2024-06-02,Completed
T00303,243,134,Transfer,2395642.21,2023-11-20,Completed
T00304,163,677,Deposit,264040.56,2024-09-10,Pending
T00305,493,244,Transfer,47835.36,2023-12-22,Pending
T00306,433,54,Withdrawal,3708848.57,2024-07-23,Failed
T00307,297,117,Deposit,952753.81,2025-09-21,Pending
T00308,320,526,Deposit,904284.84,2025-02-14,Completed
T00309,39,630,Deposit,1454622.37,2025-07-29,Failed
T00310,338,534,Transfer,1374398.55,2024-10-30,Completed
T00311,26,63,Bill Payment,84745.12,2023-06-02,Pending
T00312,267,111,Bill Payment,71268.89,2023-07-26,Pending
T00313,371,76,Deposit,644562.58,2024-01-08,Completed
T00314,189,68,Withdrawal,1375804.98,2023-09-08,Failed
T00315,59,600,Transfer,1143022.74,2023-01-03,Failed
T00316,433,544,Transfer,1361419.4,2025-03-22,Failed
T00317,419,441,Deposit,1586295.64,2025-01-24,Completed
T00318,13,671,Withdrawal,2150919.64,2023-01-07,Completed
T00319,423,424,Transfer,2482343.96,2024-02-04,Pending
T00320,327,426,Deposit,625440.43,2023-01-01,Pending
T00321,74,682,Transfer,1123215.92,2022-12-21,Completed
T00322,262,486,Deposit,182903.96,2025-03-30,Completed
T00323,119,96,Bill Payment,9746.79,2024-10-14,Failed
T00324,231,382,Withdrawal,2782297.31,2024-11-24,Failed
T00325,214,576,Transfer,2010204.79,2025-01-07,Pending
T00326,132,363,Bill Payment,86822.41,2023-06-06,Failed
T00327,79,53,Transfer,1801430.07,2023-01-01,Pending
T00328,196,107,Withdrawal,774496.15,2024-12-01,Pending
T00329,414,230,Deposit,700552.93,2023-02-06,Failed
T00330,217,377,Deposit,1525329.96,2023-07-20,Failed
T00331,240,232,Bill Payment,84531,2023-01-19,Failed
T00332,382,629,Deposit,1218185.33,2025-04-16,Failed
T00333,344,274,Deposit,361241.94,2023-01-18,Failed
T00334,207,317,Transfer,1053394.75,2025-08-18,Completed
T00335,189,147,Bill Payment,7051.58,2023-10-05,Failed
T00336,194,649,Deposit,183969.49,2024-06-23,Failed
T00337,384,221,Bill Payment,42041.27,2023-04-09,Pending
T00338,131,162,Transfer,935256.29,2025-03-07,Pending
T00339,8,582,Deposit,1766742.7,2023-10-22,Completed
T00340,131,162,Deposit,1348100.44,2025-03-22,Pending
